EXPIRY_DT,STRIKE_PR,CLOSE
2026-02-03,25100.0,423.65
2026-02-03,25450.0,188.35
2026-02-03,26700.0,3.05
2026-02-03,27200.0,1.5
2026-02-03,28000.0,1.2
2026-02-03,28050.0,1.15
2026-02-10,24200.0,1265.0
2026-02-10,24600.0,927.5
2026-02-10,25250.0,399.95
2026-02-10,26650.0,12.1
2026-02-10,27100.0,5.45
2026-02-10,27250.0,4.55
2026-02-10,27300.0,4.65
2026-02-17,23700.0,1826.6
2026-02-17,24700.0,806.9
2026-02-17,25150.0,535.85
2026-02-17,25350.0,400.55
2026-02-17,26100.0,88.45
2026-02-17,26550.0,30.2
2026-02-17,26700.0,21.05
2026-02-17,27400.0,6.0
2026-02-17,27450.0,6.05
2026-02-24,23350.0,2197.9
2026-02-24,23600.0,1969.7
2026-02-24,23800.0,1765.7
2026-02-24,25050.0,658.5
2026-02-24,25450.0,394.5
2026-02-24,25600.0,313.95
2026-02-24,25800.0,221.4
2026-02-24,25950.0,167.6
2026-02-24,26250.0,88.7
2026-02-24,26550.0,46.55
2026-02-24,27000.0,19.8
2026-02-24,28000.0,4.75
2026-03-02,23550.0,1866.35
2026-03-02,24100.0,1368.05
2026-03-02,24150.0,1325.15
2026-03-02,24650.0,928.15
2026-03-02,25100.0,673.1
2026-03-02,25600.0,358.7
2026-03-02,25800.0,259.3
2026-03-02,25950.0,190.0
2026-03-30,20000.0,5615.5
2026-03-30,23350.0,2284.0
2026-03-30,23400.0,2324.75
2026-03-30,23700.0,2049.95
2026-03-30,23800.0,1951.95
2026-03-30,23900.0,1860.4
2026-03-30,26000.0,347.95
2026-03-30,27000.0,84.8
2026-03-30,27200.0,61.6
2026-04-28,23850.0,1825.9
2026-04-28,24100.0,1624.85
2026-04-28,24600.0,1255.1
2026-04-28,25450.0,818.75
2026-04-28,26900.0,183.3
2026-06-30,24000.0,2257.0
2026-09-29,34500.0,30.15
2026-12-29,33000.0,53.95
2027-06-29,19500.0,8143.4
2027-06-29,27000.0,1932.5
2027-06-29,28500.0,1711.9
2027-12-28,22500.0,6183.0
2027-12-28,27000.0,2515.7
2028-06-27,22500.0,6796.05
2029-06-26,25500.0,5917.35
2029-06-26,27000.0,6570.4
2029-12-24,21000.0,9463.95
2029-12-24,30000.0,3400.0
2029-12-24,33000.0,3816.05
2030-06-25,27000.0,6972.5
2026-09-29,25500.0,1515.0
2026-09-29,30000.0,89.45
2026-09-29,33000.0,41.95
2026-12-29,19500.0,7586.85
2026-12-29,34500.0,89.2
2027-06-29,25500.0,3312.45
2027-12-28,25500.0,4013.5
2029-06-26,19500.0,10206.95
2029-06-26,21000.0,9799.75
2029-06-26,22500.0,7946.5
2030-12-31,34500.0,3406.35
2030-06-25,18000.0,12423.9
2029-12-24,25500.0,6500.6
2026-02-03,25500.0,163.1
2026-02-03,26000.0,29.5
2026-02-03,26750.0,2.75
2026-02-03,27950.0,1.2
2026-02-03,28100.0,1.1
2026-02-10,23350.0,2144.1
2026-02-10,25450.0,275.2
2026-02-10,25600.0,199.8
2026-02-10,25800.0,122.9
2026-02-10,27950.0,3.0
2026-02-17,24350.0,1209.35
2026-02-17,24750.0,857.6
2026-02-17,25200.0,499.75
2026-02-17,26250.0,61.15
2026-02-24,24100.0,1465.45
2026-02-24,24600.0,1025.5
2026-02-24,26050.0,136.95
2026-02-24,26400.0,64.6
2026-02-24,26500.0,51.95
2026-02-24,27150.0,15.15
2026-02-24,27450.0,9.35
2026-02-24,27550.0,8.3
2026-02-24,28100.0,4.45
2026-03-02,23400.0,2008.5
2026-03-02,24350.0,1158.75
2026-03-02,25050.0,651.8
2026-03-02,25850.0,239.7
2026-03-02,26100.0,159.05
2026-03-02,26500.0,71.1
2026-03-02,27050.0,48.2
2026-03-30,24250.0,1542.25
2026-03-30,25250.0,773.75
2026-03-30,25300.0,728.5
2026-03-30,25400.0,663.55
2026-03-30,25500.0,603.6
2026-03-30,25900.0,390.2
2026-03-30,27250.0,56.9
2026-03-30,27550.0,38.75
2026-03-30,28000.0,25.5
2026-04-28,24350.0,1434.25
2026-04-28,24450.0,1362.05
2026-04-28,24650.0,1220.8
2026-04-28,24750.0,1153.8
2026-04-28,24900.0,1191.1
2026-04-28,25650.0,565.75
2026-04-28,27100.0,195.55
2026-06-30,19500.0,7018.7
2026-06-30,22500.0,3456.85
2026-09-29,22500.0,4506.85
2026-02-03,24300.0,1165.45
2026-02-03,24450.0,1021.2
2026-02-03,24650.0,827.25
2026-02-03,24900.0,593.75
2026-02-03,25050.0,465.05
2026-02-03,26300.0,10.05
2026-02-03,26350.0,8.55
2026-02-03,26500.0,5.3
2026-02-03,27250.0,1.5
2026-02-03,27350.0,1.4
2026-02-03,27700.0,1.35
2026-02-03,27800.0,1.25
2026-02-10,23900.0,1602.0
2026-02-10,24750.0,796.5
2026-02-10,25550.0,223.1
2026-02-10,25650.0,177.75
2026-02-10,27200.0,4.8
2026-02-10,27350.0,4.0
2026-02-10,27400.0,4.3
2026-02-17,23300.0,2231.3
2026-02-17,24050.0,1400.0
2026-02-17,24100.0,1440.4
2026-02-17,24200.0,1350.0
2026-02-17,24600.0,895.65
2026-02-17,25750.0,193.4
2026-02-17,25800.0,174.6
2026-02-17,26300.0,53.5
2026-02-17,26350.0,47.5
2026-02-17,27100.0,11.1
