EXPIRY_DT,STRIKE_PR,CLOSE
2030-12-31,22500.0,9536.95
2030-12-31,19500.0,11601.15
2029-06-26,24000.0,8085.35
2028-06-27,19500.0,9209.1
2027-06-29,21000.0,3061.8
2027-06-29,19000.0,7800.0
2026-12-29,27000.0,947.55
2026-12-29,22500.0,4860.75
2026-09-29,27000.0,583.7
2026-09-29,18000.0,7684.05
2026-06-30,31500.0,11.7
2026-06-30,12000.0,8690.0
2026-04-28,26800.0,112.7
2026-04-28,26300.0,221.75
2026-04-28,25750.0,402.0
2026-04-28,25550.0,496.15
2026-04-28,25100.0,765.15
2026-04-28,24300.0,1320.05
2026-03-30,31000.0,3.1
2026-03-30,27850.0,17.0
2026-03-30,27450.0,23.05
2026-03-30,26300.0,119.25
2026-03-30,25600.0,332.95
2026-03-30,24950.0,687.15
2026-03-30,24750.0,770.0
2026-03-30,24650.0,852.1
2026-03-30,24600.0,933.9
2026-03-30,24500.0,1000.05
2026-03-30,23100.0,2218.0
2026-03-02,26450.0,31.65
2026-03-02,26400.0,34.2
2026-03-02,26250.0,45.65
2026-03-02,25550.0,195.8
2026-03-02,25350.0,277.4
2026-03-02,25200.0,356.15
2026-03-02,24550.0,642.5
2026-03-02,24500.0,828.0
2026-03-02,24400.0,1118.6
2026-03-02,23950.0,1293.25
2026-03-02,23800.0,1422.65
2026-03-02,23650.0,1566.3
2026-02-24,25350.0,220.3
2026-02-24,25000.0,406.25
2026-02-24,24250.0,952.0
2026-02-24,23400.0,1716.15
2026-02-17,27050.0,5.0
2026-02-17,27000.0,5.45
2026-02-17,26800.0,6.75
2026-02-17,26500.0,9.55
2026-02-17,25600.0,87.45
2026-02-17,25400.0,146.55
2026-02-17,25250.0,205.7
2026-02-17,23800.0,1339.05
2026-02-17,23500.0,1630.85
2026-02-10,26300.0,5.35
2026-02-10,25900.0,14.5
2026-02-10,25400.0,84.55
2026-02-10,24850.0,361.9
2026-02-10,24400.0,729.8
2026-02-10,23600.0,1415.0
2026-02-10,23400.0,1685.0
2026-02-10,23250.0,1844.15
2026-02-03,26900.0,0.7
2026-02-03,26850.0,0.85
2026-02-03,26650.0,0.9
2026-02-03,25850.0,1.85
2026-02-03,25800.0,2.1
2026-02-03,25400.0,9.75
2026-02-03,25300.0,19.5
2026-02-03,25200.0,39.8
2026-02-03,24800.0,286.25
2026-02-03,24500.0,571.15
2026-02-03,24100.0,969.6
2026-02-03,23700.0,1290.0
2030-12-31,27000.0,6772.8
2030-12-31,18000.0,12674.15
2028-12-26,22500.0,7382.9
2028-12-26,19500.0,9716.4
2028-12-26,18000.0,9380.3
2028-06-27,28500.0,2990.0
2027-06-29,31500.0,769.15
