EXPIRY_DT,STRIKE_PR,CLOSE
2026-04-13,24450.0,72.1
2026-04-13,24400.0,76.95
2026-04-13,22700.0,680.65
2026-04-13,22250.0,1121.85
2026-04-13,22100.0,1244.15
2026-04-13,21100.0,1785.05
2026-04-07,26400.0,2.95
2026-04-07,25650.0,4.3
2026-04-07,25550.0,4.9
2026-04-07,25200.0,8.7
2026-04-07,23950.0,87.4
2026-04-07,23550.0,179.8
2026-04-07,23200.0,301.55
2026-04-07,23150.0,320.1
2026-04-07,22100.0,959.05
2026-04-07,21750.0,2496.25
2026-04-07,21100.0,1631.95
2026-04-07,21050.0,1651.95
2026-04-07,20550.0,2244.75
2026-03-30,27500.0,0.65
2026-03-30,26450.0,0.75
2026-03-30,26150.0,0.75
2026-03-30,24250.0,4.95
2026-03-30,24200.0,5.7
2026-03-30,22850.0,198.4
2026-03-30,21850.0,970.75
2026-03-30,21250.0,1750.65
2026-03-30,21150.0,2001.4
2026-03-30,20750.0,2167.25
2030-12-31,27000.0,6772.8
2030-12-31,24000.0,8563.3
2030-12-31,18000.0,12674.15
2030-06-25,16500.0,13374.05
2029-06-26,15000.0,13671.85
2028-12-26,33000.0,2477.5
2028-06-27,34500.0,1003.35
2028-06-27,33000.0,2004.15
2028-06-27,21000.0,5226.55
2027-12-28,30000.0,582.1
2026-12-29,22000.0,2633.65
2026-12-29,19500.0,7586.85
2026-12-29,19000.0,5000.0
2026-09-29,34500.0,30.15
2026-06-30,28000.0,32.3
2026-05-26,27200.0,23.05
2026-05-26,25550.0,89.2
2026-05-26,25450.0,101.3
2026-05-26,24750.0,213.5
2026-05-26,24000.0,439.8
2026-05-26,23900.0,478.8
2026-05-26,23750.0,567.85
2026-05-26,23350.0,743.75
2026-05-26,23200.0,805.1
2026-05-26,21800.0,2109.7
2026-05-05,25350.0,25.05
2026-05-05,25200.0,32.25
2026-05-05,25050.0,41.25
2026-05-05,24700.0,71.1
2026-05-05,24550.0,88.65
2026-05-05,22500.0,851.3
2026-05-05,22350.0,954.85
2026-05-05,21800.0,1383.9
2026-05-05,21100.0,2011.15
2026-04-28,27300.0,7.9
2026-04-28,26450.0,15.05
2026-04-28,26150.0,18.15
2026-04-28,25000.0,71.6
2026-04-28,24450.0,149.25
2026-04-28,23400.0,495.7
2026-04-28,23150.0,619.4
2026-04-28,22800.0,820.0
2026-04-28,22000.0,1346.95
2026-04-28,20500.0,2506.25
2026-04-21,25250.0,50.45
2026-04-21,25200.0,55.15
2026-04-21,24350.0,207.65
2026-04-21,23450.0,413.3
2026-04-21,23300.0,470.7
2026-04-21,23250.0,489.4
