EXPIRY_DT,STRIKE_PR,CLOSE
2026-12-29,28500.0,540.25
2026-09-29,19500.0,7303.95
2026-04-28,27450.0,138.9
2026-04-28,26950.0,153.0
2026-04-28,26550.0,283.4
2026-04-28,25850.0,649.1
2026-04-28,25700.0,742.6
2026-04-28,24800.0,1458.9
2026-04-28,23700.0,2179.85
2026-04-28,23350.0,2681.7
2026-03-30,26900.0,54.9
2026-03-30,26550.0,124.1
2026-03-30,26450.0,153.0
2026-03-30,26250.0,226.9
2026-03-30,24550.0,1488.85
2026-03-30,24300.0,1701.7
2026-03-30,24150.0,1862.25
2026-03-30,23650.0,2339.05
2026-03-24,27500.0,47.6
2026-03-24,25800.0,425.85
2026-03-17,27650.0,5.2
2026-03-17,26150.0,194.0
2026-03-17,25700.0,435.25
2026-03-17,25550.0,450.55
2026-03-17,25350.0,914.55
2026-03-17,24550.0,1578.7
2026-03-10,27700.0,4.85
2026-03-10,26900.0,15.15
2026-03-10,26400.0,65.7
2026-03-10,25850.0,275.05
2026-03-10,24850.0,1090.05
2026-03-10,24000.0,1902.15
2026-03-10,23950.0,1940.6
2030-12-31,34500.0,3406.35
2030-06-25,18000.0,12423.9
2029-12-24,25500.0,6500.6
2029-06-26,22500.0,7946.5
2029-06-26,21000.0,9799.75
2029-06-26,19500.0,10206.95
2027-12-28,25500.0,4013.5
2027-06-29,25500.0,3312.45
2026-12-29,34500.0,89.2
2026-12-29,19500.0,7586.85
2026-09-29,33000.0,10.9
2026-09-29,30000.0,98.95
2026-09-29,25500.0,1777.85
2026-09-29,22500.0,4506.85
2026-03-17,27400.0,8.2
2026-03-24,24650.0,1304.15
2026-03-24,24750.0,1219.45
2026-03-24,24900.0,1096.6
2026-03-24,24950.0,1056.85
2026-03-17,26350.0,341.7
2026-03-17,26700.0,220.65
2026-03-24,25650.0,518.25
2026-03-24,26300.0,278.95
2026-03-24,26650.0,176.4
2026-03-30,28000.0,8.7
2026-03-30,27550.0,13.4
2026-03-30,27250.0,24.9
2026-03-30,25900.0,405.3
2026-03-02,23400.0,2460.25
2026-02-24,28100.0,1.1
2026-02-24,27550.0,1.25
2026-02-24,27450.0,1.2
2026-02-24,27150.0,1.4
2026-02-24,26500.0,6.15
2026-02-24,26400.0,8.55
2026-02-24,26050.0,46.95
2026-02-24,24600.0,1237.05
2026-02-24,24100.0,1659.65
2026-03-30,25500.0,676.85
2026-03-30,25400.0,749.65
2026-04-28,23100.0,3028.85
2026-04-28,23250.0,2607.25
2026-03-17,25250.0,988.45
2026-03-17,24800.0,1356.5
2026-03-17,24600.0,1533.45
2026-03-17,23900.0,2192.45
2026-03-10,27500.0,4.2
2026-03-10,26450.0,232.1
2026-04-28,23400.0,2725.0
2026-04-28,24350.0,1820.0
2026-04-28,24450.0,1681.85
2026-04-28,24650.0,1508.75
2026-04-28,24750.0,1465.05
2026-04-28,24900.0,1356.0
2026-04-28,25650.0,796.85
2026-04-28,27100.0,117.2
2026-03-10,26350.0,75.75
2026-03-10,25550.0,477.9
2026-03-10,25450.0,550.0
2026-03-10,25050.0,880.3
2026-03-10,24950.0,994.8
2026-03-10,24650.0,1273.4
2026-03-10,24550.0,1370.1
2026-03-24,27150.0,82.4
2026-03-24,27350.0,59.0
2026-03-30,24250.0,1766.6
2026-03-30,25250.0,870.9
2026-03-30,25300.0,831.25
2026-03-10,24500.0,1423.25
2026-03-02,27700.0,2.0
2026-03-02,27050.0,5.7
2026-03-17,26100.0,213.2
2026-03-02,26500.0,21.2
2026-03-02,26100.0,92.15
2026-03-02,25850.0,201.65
2026-03-02,25050.0,833.95
2026-04-28,27300.0,83.25
2026-06-30,19500.0,7018.7
2026-06-30,22500.0,3255.15
2026-03-02,24350.0,1510.7
2030-12-31,28500.0,5968.3
2030-12-31,24000.0,8563.3
2030-06-25,33000.0,4416.45
2030-06-25,25500.0,7070.45
2030-06-25,21000.0,10421.65
2029-12-24,28500.0,4802.1
2029-12-24,18000.0,11362.4
2028-12-26,34500.0,1432.8
2028-12-26,21000.0,7512.5
2027-12-28,24000.0,6400.0
2027-06-29,24000.0,4499.0
2026-12-29,29000.0,466.95
2026-09-29,24000.0,2742.55
2026-06-30,29000.0,49.6
2026-06-30,28000.0,147.6
2026-06-30,18000.0,7580.0
2026-04-28,27550.0,56.0
2026-04-28,27050.0,120.0
2026-04-28,26850.0,178.05
2026-04-28,25600.0,813.95
2026-04-28,25500.0,887.75
2026-04-28,25000.0,1282.25
2026-04-28,24250.0,2016.55
2026-03-30,30000.0,3.25
2026-03-30,27950.0,8.95
2026-03-30,27750.0,10.55
2026-03-30,27650.0,13.6
2026-03-30,27600.0,14.2
2026-03-30,27100.0,35.15
2026-03-30,26200.0,248.0
2026-03-30,25950.0,376.35
2026-03-30,25800.0,467.0
2026-03-30,25750.0,499.1
2026-03-30,24000.0,2006.0
2026-03-24,26800.0,141.5
2026-03-24,26050.0,376.5
2026-03-24,26000.0,305.5
2026-03-24,25850.0,469.95
2026-03-24,25750.0,449.6
2026-03-24,25000.0,1017.75
2026-03-24,24500.0,1434.9
2026-03-24,24200.0,1707.35
2026-03-24,24150.0,1753.95
2026-03-17,27350.0,85.4
2026-03-17,27300.0,92.5
2026-03-17,27250.0,37.4
2026-03-17,26200.0,167.5
2026-03-17,25100.0,1105.8
2026-03-17,25050.0,1146.2
2026-03-17,24250.0,1857.0
2026-03-10,27250.0,6.65
2026-03-10,26150.0,133.4
2026-03-10,25500.0,513.75
2026-03-02,27650.0,2.1
2026-03-02,26200.0,64.1
2026-03-02,25650.0,329.05
2026-03-02,25250.0,658.95
2026-03-02,23600.0,2251.5
2026-03-02,23500.0,2367.5
2026-02-24,27200.0,1.35
2026-02-24,26850.0,2.45
2026-02-24,25300.0,553.4
2026-02-24,24350.0,1377.7
2026-02-24,23900.0,1832.6
2026-02-24,23850.0,1884.0
2026-02-24,23500.0,2327.5
2026-02-24,25550.0,327.55
2026-02-24,24500.0,1336.0
2026-02-24,24050.0,1685.55
2026-02-24,24750.0,1068.1
2026-02-24,23950.0,1788.45
2029-06-26,31500.0,2878.65
2028-12-26,31500.0,2327.6
2028-12-26,30000.0,2340.0
2028-12-26,25500.0,5309.05
2028-12-26,24000.0,5850.3
2028-06-27,34500.0,1003.35
2028-06-27,31500.0,1784.8
2028-06-27,30000.0,2278.45
2028-06-27,21000.0,5226.55
2027-12-28,31500.0,1200.0
2027-12-28,19500.0,8684.7
2027-06-29,34500.0,304.2
2027-06-29,18000.0,4066.45
2026-12-29,18000.0,4501.45
2026-06-30,31000.0,15.5
2026-06-30,28500.0,407.5
2026-06-30,27000.0,422.8
2026-04-28,27000.0,144.45
2026-04-28,26750.0,213.65
2026-04-28,26450.0,321.65
2026-04-28,26400.0,347.05
2026-04-28,26100.0,492.4
2026-04-28,25300.0,1040.35
2026-04-28,25150.0,1139.4
2026-04-28,24850.0,1317.25
2026-04-28,24400.0,1717.95
2026-04-28,24000.0,2165.0
2026-03-30,27800.0,10.3
2026-03-30,27300.0,23.55
2026-03-30,27150.0,31.05
2026-03-30,26950.0,49.15
2026-03-30,26600.0,110.65
2026-03-30,26500.0,137.9
2026-03-30,26100.0,295.45
2026-03-30,25450.0,715.25
2026-03-30,25200.0,913.3
2026-03-30,24400.0,1601.7
2026-03-30,24100.0,1919.15
2026-03-30,23000.0,2969.85
2026-03-24,27250.0,69.85
2026-03-24,26150.0,232.0
2026-03-24,24850.0,1136.95
2026-03-24,24350.0,1569.5
2026-03-24,24100.0,1800.8
2026-03-17,27600.0,56.4
2026-03-17,27000.0,20.45
2026-03-17,26950.0,156.6
2026-03-17,25750.0,405.15
2026-03-17,25450.0,492.1
2026-03-17,25400.0,656.85
2026-03-17,25000.0,1052.25
2026-03-17,24850.0,1313.4
2026-03-17,24350.0,1763.1
2026-03-17,24150.0,1951.9
2026-03-10,27350.0,5.3
2026-03-10,26750.0,154.1
2026-03-10,25750.0,333.6
2026-03-10,25650.0,401.4
2026-03-10,25300.0,614.35
2026-03-10,24400.0,1513.45
2026-03-10,24350.0,1564.0
2026-03-10,24200.0,1706.85
2026-03-10,24150.0,1755.7
2026-03-10,23850.0,2036.25
2026-03-02,27150.0,4.6
2026-03-02,26300.0,44.1
2026-03-02,25300.0,615.8
2026-03-02,25000.0,892.95
2026-03-02,24750.0,1119.55
2026-03-02,23700.0,2146.9
2026-02-24,27800.0,1.1
2026-02-24,26800.0,2.65
2026-02-24,26000.0,60.65
2026-02-24,25900.0,97.3
2026-02-24,25750.0,178.5
2026-03-17,27450.0,72.6
2026-03-24,25250.0,832.55
2026-03-24,26450.0,230.05
2026-03-24,26750.0,152.2
2026-03-24,26850.0,46.95
2026-03-24,27100.0,89.3
2026-03-30,23750.0,1627.7
2026-03-30,24900.0,1170.2
2026-03-30,25100.0,1000.75
2026-03-30,26050.0,322.0
2026-03-30,26850.0,62.3
2026-02-24,23650.0,2075.3
2026-03-30,27050.0,38.9
2026-03-30,27400.0,19.05
2026-04-28,23450.0,2404.85
2026-04-28,24050.0,1861.25
2026-04-28,24500.0,1715.7
2026-04-28,24550.0,1591.35
2026-04-28,26000.0,553.05
2026-04-28,26600.0,263.4
2026-04-28,27700.0,41.75
2026-06-30,30000.0,27.3
2026-06-30,34500.0,4.25
2026-09-29,21000.0,4967.05
2026-03-24,24450.0,1479.35
2030-12-31,33000.0,3948.25
2030-12-31,31500.0,4554.55
2029-12-24,27000.0,6201.65
2029-12-24,24000.0,7730.0
2029-06-26,33000.0,4179.45
2029-06-26,28500.0,4213.3
2027-12-28,34500.0,619.2
2027-12-28,26000.0,3450.0
2026-12-29,25500.0,2240.0
2026-12-29,21000.0,5800.0
2026-09-29,31500.0,173.65
2026-02-24,24150.0,1591.6
2026-02-24,24850.0,984.95
2026-02-24,26950.0,2.05
2026-02-24,27300.0,1.25
2026-02-24,27400.0,1.25
2026-02-24,27500.0,1.2
2026-02-24,27750.0,1.25
2026-02-24,27900.0,1.05
2026-03-02,25150.0,749.8
2026-03-02,25700.0,294.8
2026-03-02,26750.0,10.15
2026-03-02,27450.0,2.7
2026-03-10,23800.0,2084.3
2026-03-10,24050.0,1853.3
2026-03-10,26100.0,151.9
2026-03-10,26550.0,203.25
2026-03-10,27100.0,8.55
2026-03-17,23700.0,2387.4
2026-03-17,23950.0,2144.05
2026-03-17,24100.0,1999.65
2026-03-17,24500.0,1624.3
2026-03-17,25600.0,504.95
2026-03-17,26550.0,267.85
2026-02-24,23400.0,2338.85
2026-02-24,24250.0,1498.4
2026-02-24,25000.0,843.65
2026-02-24,25350.0,507.2
2026-03-02,23650.0,2216.15
2026-03-02,23800.0,2067.8
2026-03-02,23950.0,1902.6
2026-03-02,24400.0,1463.05
2026-03-02,24500.0,1358.8
2026-03-02,24550.0,1318.1
2026-03-02,25200.0,702.7
2026-03-02,25350.0,566.95
2026-03-02,25550.0,405.75
2026-03-02,26250.0,53.4
2026-03-02,26400.0,30.2
2026-03-02,26450.0,25.1
2026-03-02,27350.0,3.2
2026-03-10,23900.0,1988.3
2026-03-10,25800.0,307.2
2026-03-10,26250.0,102.45
2026-03-10,26800.0,19.0
2026-03-10,26950.0,12.65
2026-03-10,27200.0,6.9
2026-03-17,24300.0,1809.9
2026-03-17,24650.0,1488.6
2026-03-17,25150.0,1066.05
2026-03-17,26050.0,191.5
2026-03-17,26250.0,151.4
2026-03-17,26400.0,322.0
2026-03-17,26650.0,235.65
2026-03-17,26900.0,168.1
2026-03-17,27200.0,12.55
2026-03-17,27550.0,8.9
2026-03-24,24250.0,1661.1
2026-03-24,24400.0,1524.25
2026-03-24,24600.0,1347.25
2026-03-24,25100.0,941.6
2026-03-24,25550.0,636.05
2026-03-30,23100.0,2573.2
2026-03-30,24500.0,1534.9
2026-03-30,24600.0,1459.25
2026-03-30,24650.0,1387.15
2026-03-30,24750.0,1284.9
