[00:17:46] [DEBUG] Bhavcopy 2026-03-19: CE ATM=22750 expiry=2026-03-24 00:00:00 close=Rs420.8 (real_spot~22750)
[00:17:48] [DEBUG] Bhavcopy 2026-03-20: CE ATM=23350 expiry=2026-03-30 00:00:00 close=Rs254.8 (real_spot~23350)
[00:17:50] [DEBUG] Bhavcopy 2026-03-23: CE ATM=22250 expiry=2026-03-30 00:00:00 close=Rs579.4 (real_spot~22250)
[00:17:51] [DEBUG] Bhavcopy 2026-03-24: CE ATM=22700 expiry=2026-03-30 00:00:00 close=Rs462.3 (real_spot~22700)
[00:17:53] [DEBUG] Bhavcopy 2026-03-25: CE ATM=22750 expiry=2026-03-30 00:00:00 close=Rs664.0 (real_spot~22750)
[00:17:54] [DEBUG] Bhavcopy 2026-03-27: CE ATM=22550 expiry=2026-04-07 00:00:00 close=Rs642.2 (real_spot~22550)
[00:17:56] [DEBUG] Bhavcopy 2026-03-30: CE ATM=21600 expiry=2026-04-07 00:00:00 close=Rs920.0 (real_spot~21600)
[00:17:57] [DEBUG] Bhavcopy 2026-04-01: CE ATM=21950 expiry=2026-04-07 00:00:00 close=Rs851.6 (real_spot~21950)
[00:17:58] [DEBUG] Bhavcopy 2026-04-02: CE ATM=21400 expiry=2026-04-07 00:00:00 close=Rs1318.0 (real_spot~21400)
[00:18:00] [DEBUG] Bhavcopy 2026-04-06: CE ATM=22100 expiry=2026-04-13 00:00:00 close=Rs1017.5 (real_spot~22100)
[00:18:01] [DEBUG] Bhavcopy 2026-04-07: CE ATM=22050 expiry=2026-04-13 00:00:00 close=Rs1133.5 (real_spot~22050)
[00:18:03] [DEBUG] Bhavcopy 2026-04-08: CE ATM=23250 expiry=2026-04-13 00:00:00 close=Rs792.0 (real_spot~23250)
[00:18:04] [DEBUG] Bhavcopy 2026-04-09: CE ATM=23050 expiry=2026-04-13 00:00:00 close=Rs780.4 (real_spot~23050)
[00:18:05] [DEBUG] Bhavcopy 2026-04-10: CE ATM=22900 expiry=2026-04-21 00:00:00 close=Rs1217.6 (real_spot~22900)
[00:18:06] [DEBUG] Bhavcopy 2026-04-13: CE ATM=22500 expiry=2026-04-21 00:00:00 close=Rs1372.5 (real_spot~22500)
[00:18:08] [DEBUG] Bhavcopy 2026-04-15: CE ATM=23500 expiry=2026-04-21 00:00:00 close=Rs765.4 (real_spot~23500)
[00:18:09] [DEBUG] Bhavcopy 2026-04-16: CE ATM=23450 expiry=2026-04-21 00:00:00 close=Rs747.0 (real_spot~23450)
[00:18:10] [DEBUG] Bhavcopy 2026-04-17: CE ATM=23150 expiry=2026-04-28 00:00:00 close=Rs1253.5 (real_spot~23150)
[00:18:12] [DEBUG] Bhavcopy 2026-04-20: CE ATM=23650 expiry=2026-04-28 00:00:00 close=Rs789.2 (real_spot~23650)
[00:18:13] [DEBUG] Bhavcopy 2026-04-21: CE ATM=24050 expiry=2026-04-28 00:00:00 close=Rs614.6 (real_spot~24050)
[00:18:14] [DEBUG] Bhavcopy 2026-04-22: CE ATM=24100 expiry=2026-04-28 00:00:00 close=Rs394.9 (real_spot~24100)
[00:18:15] [DEBUG] Bhavcopy 2026-04-23: CE ATM=23850 expiry=2026-04-28 00:00:00 close=Rs387.0 (real_spot~23850)
[00:18:16] [DEBUG] Bhavcopy 2026-04-24: CE ATM=23850 expiry=2026-05-05 00:00:00 close=Rs376.6 (real_spot~23850)
[00:18:17] [DEBUG] Bhavcopy 2026-04-27: CE ATM=24100 expiry=2026-05-05 00:00:00 close=Rs272.9 (real_spot~24100)
[00:18:18] [DEBUG] Bhavcopy 2026-04-28: CE ATM=23850 expiry=2026-05-05 00:00:00 close=Rs301.2 (real_spot~23850)
